1,100.000000,132,132
2,49.996500,132,132
3,33.328667,135,132
4,24.994750,137,132
5,19.994400,135,132
6,16.660833,132,132
7,14.279714,132,132
8,12.493875,133,132
9,11.104889,134,132
10,9.993700,133,132
11,9.084546,132,132
12,8.326917,134,132
13,7.685846,136,132
14,7.136357,134,132
15,6.660133,133,132
16,6.243438,135,132
17,5.875765,135,132
18,5.548945,135,132
19,5.256526,133,132
20,4.993350,132,132
21,4.755238,131,131
22,4.538773,132,131
23,4.341131,133,131
24,4.159958,134,131
25,3.993280,135,131
26,3.839423,138,131
27,3.696963,137,131
28,3.564679,137,131
29,3.441517,137,131
30,3.326567,139,131
31,3.219032,139,131
32,3.118219,138,131
33,3.023515,138,131
34,2.934382,138,131
35,2.850343,137,131
36,2.770972,139,131
37,2.695892,138,131
38,2.624763,138,131
39,2.557282,138,131
40,2.493175,137,131
41,2.432195,137,131
42,2.374119,136,131
43,2.318744,136,131
44,2.265886,133,131
45,2.215378,132,131
46,2.167065,133,131
47,2.120809,133,131
48,2.076479,133,131
49,2.033959,133,131
50,1.993140,133,131
51,1.953922,132,131
52,1.916212,131,131
53,1.879925,131,131
54,1.844982,128,128
55,1.811309,126,126
56,1.778839,124,124
57,1.747509,124,124
58,1.717259,123,123
59,1.688034,123,123
60,1.659783,123,123
61,1.632459,123,123
62,1.606016,123,123
63,1.580413,123,123
64,1.555609,123,123
65,1.531569,124,123
66,1.508258,123,123
67,1.485642,126,123
68,1.463691,124,123
69,1.442377,123,123
70,1.421672,123,123
71,1.401549,122,122
72,1.381986,121,121
73,1.362959,121,121
74,1.344446,121,121
75,1.326427,121,121
76,1.308882,120,120
77,1.291792,119,119
78,1.275141,117,117
79,1.258911,118,117
80,1.243088,117,117
81,1.227654,116,116
82,1.212598,116,116
83,1.197904,116,116
84,1.183560,117,116
85,1.169553,117,116
86,1.155872,118,116
87,1.142506,117,116
88,1.129443,117,116
89,1.116674,118,116
90,1.104189,117,116
91,1.091978,115,115
92,1.080033,115,115
93,1.068344,115,115
94,1.056904,114,114
95,1.045705,115,114
96,1.034740,113,113
97,1.024000,112,112
98,1.013480,113,112
99,1.003172,110,110
100,0.993070,109,109
101,0.983168,109,109
102,0.973461,110,109
103,0.963942,107,107
104,0.954606,107,107
105,0.945448,106,106
106,0.936462,105,105
107,0.927645,105,105
108,0.918991,105,105
109,0.910495,105,105
110,0.902155,103,103
111,0.893964,103,103
112,0.885920,101,101
113,0.878018,101,101
114,0.870254,101,101
115,0.862626,101,101
116,0.855129,100,100
117,0.847761,99,99
118,0.840517,98,98
119,0.833395,98,98
120,0.826392,98,98
121,0.819504,98,98
122,0.812730,98,98
123,0.806065,97,97
124,0.799508,97,97
125,0.793056,97,97
126,0.786706,98,97
127,0.780457,98,97
128,0.774305,100,97
129,0.768248,100,97
130,0.762285,100,97
131,0.756412,100,97
132,0.750629,100,97
133,0.744932,100,97
134,0.739321,100,97
135,0.733793,100,97
136,0.728346,100,97
137,0.722978,100,97
138,0.717688,100,97
139,0.712475,96,96
140,0.707336,96,96
141,0.702270,94,94
